,LocatiePostcode,Soort aanvraagOmschrijvingKadastrale aanduiding,BVnummer,DatumBinnenkomst,Einddatum  ,EindStatus
0,Bargelaan 182J2333CW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureinterne herindeling,190830,27-03-2019,,
1,Bargelaan 1922333CW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanpassingen lifthal begane grond,190860,01-04-2019,,
2,Bevrijdingsplein 902321CV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen medicijnuitgifterobot,183331,27-12-2018,03-04-2019,Verleend
3,Boerhaavelaan 462334ES,Kabels en Leidingen TelecomAanleggen telecommunicatiekabels Ziggo B.V.P 03107G0000,190753,19-03-2019,02-04-2019,Verleend
4,Damastroos 22317GA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voorzijdeS 02507G0000,190864,02-04-2019,,
5,De Meij v Streefkerkstr 692313JM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen zonnepanelenQ 01530G0000,190351,07-02-2019,03-04-2019,Verleend
6,Ebel Magninpad ,Kabels en Leidingen Nutsaanleggen waterleidingen N.V. Nuon Heat,182738,23-10-2018,11-04-2019,Verleend
7,Flevodwarsweg 7B2318BW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen deur in gevel,190832,27-03-2019,,
8,Gandhistraat 142332ZZ,Kabels en Leidingen Telecomaanleggen telecommunicatiekabels Ziggo BVX 03531G0000,190772,20-03-2019,02-04-2019,Verleend
9,Haagse Schouwweg 142332KG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen windschermen op terrasW 07307G0000,190857,01-04-2019,,
10,Haarlemmerstraat 1272312DN,Aanvraag Drank- en Horecaverlof regulierdrank- en horecaverlof,190649,08-03-2019,02-04-2019,Verleend
11,Haarlemmerweg 992334GD,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebouw van twee padel / tenniskooien,183309,21-12-2018,02-04-2019,Verleend
12,Hermelijnvlinder 642317KD,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduredichtzetten van balkonS 01793G0000,190866,03-04-2019,,
13,Hoefstraat 26B2311PT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw begane grond tot appartementE 01655G0000,190859,01-04-2019,,
14,Hoge Morsweg 1032332HJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voordakvlakX 02677G0000,190856,01-04-2019,,
15,Hooglandse Kerkgracht 2312HS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen beelden i.v.m.  Beelden in Leiden 2019L 02691,190861,01-04-2019,,
16,Ina Boudier-Bakkerplein 12331HE,Aanvraag Drank- en Horecaverlof regulierdrank- en horecaverlofW 07259G0000,190517,25-02-2019,02-04-2019,Verleend
17,Julianastraat 522316NZ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevergroten pand en wijzigen naar twee appartementenK 03246G0000,190275,31-01-2019,01-04-2019,Verleend
18,Kanaalpark 1432321JV,Omgevingsvergunning Omgevingsvergunning Reguliere ProceduregevelwijzigingO 04930G0000,190833,28-03-2019,,
19,Kastanjekade 192313XM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw bedrijfsgebouw tot 2 appartementenM 08599G0000,182904,28-03-2019,,
20,Lambertushof 132311KR,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduremetalen schuiframen vervangen door houten draaikiepramen,190474,19-02-2019,29-03-2019,Verleend
21,Lammenschansweg 1492321HS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurehet kappen van 2 bomen  locatie Lammenschansweg 149O 03288G0000,190842,29-03-2019,,
22,Langegracht 752312NX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen aanbouwB 01799G0000,190847,29-03-2019,,
23,Levendaal 1892311JK,Kabels en Leidingen Telecomvervangen telecommunicatiekabels Ziggo BVD 01922G0000,190778,21-03-2019,02-04-2019,Verleend
24,Middelstegracht 1552312TV,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten),190843,29-03-2019,02-04-2019,Verleend
25,Middelweg 382312KJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen voordeurI 02693G0000,183229,16-12-2018,29-03-2019,Verleend
26,Morssingelterrein ,Kabels en Leidingen Gebruik Openbare RuimteAanleggen van een winkelwagenbeveiligingssysteem Aldi Zoetermeer B.V.,183199,07-12-2018,02-04-2019,Verleend
27,Nieuwe Beestenmarkt 132312CG,Aanvraag ontheffing ex artikel 35 DHWontheffing art. 35 DHW (buitentap en standplaats Koningsnacht en -dag)B 02866G0000,190874,03-04-2019,03-04-2019,Verleend
